"year","area","housing_units_total","housing_units_rental","housing_units_other","median_rent","population_total","population_poverty_below","population_poverty_above","population_race_white","population_race_black","population_race_latinx","population_race_asian","population_race_other"
"2006-2010 5-year estimates",1,27832.000,18434.000,9398.000,"709.00 - 859.00",55006.000,14142.000,40864.000,20896.000,15510.000,13564.000,3154.000,1882.000
"2006-2010 5-year estimates",2,27204.000,12476.000,14728.000,"792.00 - 1285.00",72069.000,12601.000,59468.000,31157.000,7350.000,15421.000,16241.000,1900.000
"2006-2010 5-year estimates",3,32691.000,21951.000,10740.000,"493.00 - 1051.00",56340.000,14683.000,41657.000,28266.000,10680.000,8726.000,7383.000,1285.000
"2006-2010 5-year estimates",4,19658.000,11280.000,8378.000,"855.00 - 1059.00",38417.000,4419.000,33998.000,24307.000,1865.000,6370.000,4743.000,1132.000
"2006-2010 5-year estimates",5,16605.000,7387.000,9218.000,"944.00 - 1398.00",33394.000,2425.000,30969.000,26005.000,920.000,3959.000,1607.000,903.000
"2006-2010 5-year estimates",6,59149.000,35165.000,23984.000,"745.00 - 1647.00",97190.000,10490.000,86700.000,77093.000,3639.000,8662.000,6250.000,1546.000
"2006-2010 5-year estimates",7,36580.000,18179.000,18401.000,"827.00 - 1864.00",64435.000,8200.000,56235.000,52826.000,3001.000,3601.000,3893.000,1114.000
"2006-2010 5-year estimates",8,58837.000,27485.000,31352.000,"375.00 - 1798.00",76219.000,11012.000,65207.000,55071.000,8756.000,3925.000,7072.000,1395.000
"2006-2010 5-year estimates",9,4906.000,910.000,3997.000,"936.00 - 1315.00",10970.000,482.000,10488.000,10012.000,0.000,593.000,259.000,107.000
"2006-2010 5-year estimates",10,15550.000,3472.000,12077.000,"893.00 - 1545.00",37839.000,2202.000,35637.000,30487.000,205.000,5294.000,1685.000,168.000
"2006-2010 5-year estimates",11,10948.000,3126.000,7822.000,"742.00 - 1010.00",26710.000,1378.000,25332.000,18250.000,274.000,5746.000,2107.000,333.000
