"filing_year","area","rental_units_total","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2010,1,15969,302,1.890,15,2,285,64,221,2368.240,63,40,81,62,39,68,217,245,40,26,14,172,113,156,89,16,24,13,13,3,11,99,23,163,95,23,127,4,0,36,38,247,37,208,1,39
2010,2,18008,439,2.440,9,1,429,56,373,2343.180,55,36,166,102,70,39,390,376,53,39,14,224,205,203,173,21,32,21,18,0,14,117,60,252,114,58,204,3,2,48,66,363,62,314,4,49
2010,3,15126,961,6.350,28,4,929,154,775,2298.810,148,123,295,244,119,119,810,818,111,74,37,538,391,495,323,43,68,35,39,8,29,271,109,549,264,109,445,7,0,104,166,763,158,660,8,103
2010,4,19362,1307,6.750,31,10,1266,116,1150,1467.100,108,412,392,232,122,56,1210,1145,121,81,40,629,637,587,558,42,79,36,45,6,34,414,251,601,409,250,486,5,1,115,174,1092,167,978,7,114
2010,5,19974,1205,6.030,25,8,1172,164,1008,1820,158,247,417,235,115,122,1050,1048,124,93,31,690,482,628,420,62,62,54,39,8,23,457,129,586,444,127,477,13,2,109,179,993,173,875,6,118
2010,6,15691,908,5.790,46,10,852,198,654,1750,195,129,327,153,48,296,556,770,82,69,13,582,270,538,232,44,38,43,26,1,12,390,60,402,378,57,335,12,3,67,120,732,116,654,4,78
2010,7,15444,1216,7.870,49,5,1162,224,938,1943.130,220,159,457,246,80,242,920,1059,103,77,26,795,367,742,317,53,50,45,32,8,18,527,107,528,514,106,439,13,1,89,183,979,179,880,4,99
2010,8,12734,865,6.790,37,7,821,227,594,1800,225,139,271,134,52,204,617,749,72,59,13,537,284,507,242,30,42,28,31,2,11,346,78,397,344,77,328,2,1,69,94,727,92,657,2,70
2010,9,9243,577,6.240,22,7,548,109,439,1295,106,190,144,76,32,184,364,481,67,45,22,275,273,251,230,24,43,23,22,1,21,178,99,271,171,99,211,7,0,60,52,496,52,429,0,67
2010,10,6895,282,4.090,20,4,258,65,193,1800,62,50,86,45,15,110,148,234,24,15,9,178,80,168,66,10,14,6,9,4,5,103,17,138,102,16,116,1,1,22,42,216,40,194,2,22
2010,11,10674,268,2.510,7,5,256,45,211,2400,45,26,85,74,26,78,178,233,23,21,2,154,102,142,91,12,11,11,10,1,1,87,27,142,86,27,120,1,0,22,38,218,37,196,1,22
2010,12,8388,264,3.150,20,0,244,71,173,1705,71,40,88,34,11,126,118,225,19,11,8,144,100,134,91,10,9,7,4,3,5,77,24,143,77,24,124,0,0,19,28,216,28,197,0,19
2010,13,3816,147,3.850,15,1,131,35,96,1847.250,33,18,49,18,13,60,71,113,18,14,4,74,57,65,48,9,9,9,5,0,4,38,8,85,37,8,68,1,0,17,12,119,12,101,0,18
2010,14,5433,164,3.020,16,1,147,37,110,1800,34,26,52,29,6,62,85,128,19,12,7,92,55,83,45,9,10,7,5,2,5,55,16,76,54,16,58,1,0,18,11,136,11,117,0,19
2010,15,8395,321,3.820,28,5,288,98,190,1612.500,96,39,97,40,16,166,122,256,32,28,4,190,98,173,83,17,15,17,11,0,4,122,30,136,119,29,108,3,1,28,40,248,39,217,1,31
